Variacoes - OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 AVES E OVOS,-2.3800000000000003,1.9,-0.8600000000000001,1.24,1.0299999999999998,0.22000000000000008,3.37,1.3399999999999999,-0.16999999999999998,1.1400000000000001,1.3,-1.26,-0.9300000000000002,1.97,1.9,0.44000000000000017,0.62
 FRANGO INTEIRO,5.0600000000000005,6.59,1.3900000000000001,4.63,-0.52,1.46,6.340000000000001,3.14,0.33000000000000007,5.1,0.5399999999999999,4.369999999999999,3.35,1.62,2.72,0.72,2.92
 FRANGO EM PEDAÇOS,-4.32,0.94,-3.21,-0.44000000000000006,0.08999999999999986,-0.13,-3.3,-2.9099999999999997,-2.07,-0.42999999999999994,0.8100000000000003,-5.13,-2.31,-2.6900000000000004,-1.34,0.7000000000000002,-1.29
 OVO DE GALINHA,1.38,2.27,2.25,-3.13,5.49,-1.0999999999999999,0.07999999999999996,1.02,3.36,1.76,4.92,0.4599999999999999,-0.9899999999999998,6.390000000000001,0.7600000000000001,-0.6600000000000001,2.26
 LEITES E DERIVADOS,-7.04,-12.290000000000001,-6.0,-3.3,-7.779999999999999,-6.53,-1.02,-6.0600000000000005,-6.220000000000001,-9.600000000000001,-7.07,-10.96,-4.0200000000000005,-1.3800000000000001,-7.04,-6.74,-7.390000000000001
 LEITE LONGA VIDA,-18.700000000000003,-24.29,-13.700000000000001,-19.82,-16.119999999999997,-16.48,-16.43,-12.89,-22.130000000000003,-18.349999999999998,-14.510000000000002,-18.52,-7.359999999999999,-3.3899999999999997,-17.139999999999997,-24.749999999999996,-17.240000000000002
 LEITE CONDENSADO,0.43999999999999984,6.800000000000001,0.0,0.0,0.0,0.0,3.1099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.0,0.0,3.5300000000000002
 LEITE EM PÓ,-0.69,0.0,1.7200000000000002,2.1599999999999997,3.7,0.0,4.24,-2.62,1.91,-0.8300000000000001,5.27,1.07,2.6300000000000003,0.27,-4.62,2.18,1.16
 QUEIJO,-0.31999999999999984,-3.0,0.5700000000000001,-2.95,-1.23,0.5899999999999999,-5.529999999999999,-0.6799999999999999,-0.5099999999999998,-5.32,-2.1999999999999997,-8.51,1.64,-3.77,-2.12,-2.6799999999999997,-1.76
 IOGURTE E BEBIDAS LÁCTEAS,0.18000000000000027,8.8,1.96,3.61,5.55,1.7799999999999998,2.3,1.3699999999999997,3.59,1.77,-0.98,4.41,-3.41,2.06,4.6,2.21,3.7
