Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 AÇÚCARES E DERIVADOS,-7.93,-1.7699999999999998,-11.11,-4.95,-8.26,-4.51,-7.41,-6.34,2.54,-3.5,-10.82,-5.63,-8.790000000000001,-6.32
 AÇÚCAR REFINADO,-13.41,-9.93,0.0,0.0,-9.379999999999999,0.0,-2.65,-5.37,0.0,-5.01,0.0,0.0,0.0,-9.18
 AÇÚCAR CRISTAL,-12.169999999999998,-10.87,-20.240000000000002,-6.539999999999999,-25.02,-11.48,-12.8,-11.68,3.1500000000000004,-8.47,-18.33,-8.85,-18.189999999999998,-12.79
 BALAS,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13000000000000034,0.0,0.0,0.0,1.7099999999999997
 CHOCOLATE EM BARRA E BOMBOM,-4.02,1.3399999999999999,1.68,-4.67,-5.140000000000001,0.22000000000000003,-3.11,0.0,0.7200000000000001,-4.35,0.8899999999999999,-0.29000000000000004,-2.08,-2.59
 SORVETE,0.8999999999999999,1.81,-1.5699999999999998,-2.26,2.8800000000000003,1.58,0.0,3.31,-1.34,1.14,-0.81,1.94,2.31,1.39
 CHOCOLATE E ACHOCOLATADO EM PÓ,-2.21,6.31,-0.010000000000000009,-1.42,-4.220000000000001,4.66,2.5,0.9699999999999998,2.14,0.050000000000000266,1.01,-1.0099999999999998,-1.42,-0.7500000000000001
 DOCE  FRUTAS EM PASTA,0.0,0.0,0.0,0.24999999999999997,0.0,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3000000000000003
 HORTALIÇAS E VERDURAS,-0.19999999999999996,-23.259999999999998,-8.11,-11.58,-12.49,3.9499999999999997,-2.7399999999999998,0.14,-3.65,-12.499999999999998,-20.83,0.2999999999999998,-4.3100000000000005,-9.4
 ALFACE,-1.1000000000000003,-36.08,-9.26,-21.96,-15.999999999999998,-1.7899999999999998,-3.2800000000000002,1.7,-7.3500000000000005,-16.27,-33.480000000000004,-0.5900000000000001,-2.33,-15.5
