Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 BOLSA ,0.33000000000000007,1.36,0.3600000000000003,-7.62,0.3600000000000001,0.08000000000000007,1.1199999999999999,-5.21,-4.12,2.1999999999999997,-2.82,3.04,-4.75,-0.5599999999999999
 TÊNIS,1.92,-0.94,2.35,4.4,3.75,-1.15,0.9299999999999999,-1.3400000000000003,-1.8099999999999996,1.17,-0.3599999999999999,-1.4099999999999997,0.010000000000000009,1.6800000000000002
 JÓIAS E BIJUTERIAS,-1.0500000000000003,0.43999999999999984,0.009999999999999898,-1.2000000000000002,0.19,0.6400000000000001,-0.07000000000000028,5.45,2.47,-0.96,-1.34,-0.07999999999999985,-1.8199999999999998,0.15
 JÓIAS E BIJUTERIAS,-1.0500000000000003,0.43999999999999984,0.009999999999999898,-1.2000000000000002,0.19,0.6400000000000001,-0.07000000000000028,5.45,2.47,-0.96,-1.34,-0.07999999999999985,-1.8199999999999998,0.15
 BIJUTERIA,-2.1999999999999997,-3.27,-7.02,-4.93,0.47,-3.15,-1.2000000000000002,5.01,3.64,1.4099999999999997,-0.29000000000000015,1.2000000000000002,-3.41,-1.01
 JÓIA,-0.27000000000000046,2.5,5.779999999999999,5.57,-0.030000000000000027,2.5700000000000003,1.73,0.0,1.1399999999999997,-2.2,-2.12,-0.7599999999999998,-0.6199999999999999,1.1
 RELÓGIO DE PULSO,0.0,0.0,0.0,-2.31,0.0,0.0,-2.12,5.9399999999999995,0.0,0.0,0.0,0.0,0.0,0.12
 TECIDOS E ARMARINHO,0.24999999999999967,1.65,0.5199999999999999,-0.15999999999999992,0.89,0.32000000000000006,1.5600000000000005,4.03,0.6500000000000001,4.29,5.84,1.39,-0.9300000000000006,1.44
 TECIDOS E ARMARINHO,0.24999999999999967,1.65,0.5199999999999999,-0.15999999999999992,0.89,0.32000000000000006,1.5600000000000005,4.03,0.6500000000000001,4.29,5.84,1.39,-0.9300000000000006,1.44
 TECIDO,1.64,-0.6,-0.89,-0.15999999999999992,0.7,0.9700000000000002,2.61,4.4799999999999995,0.09000000000000008,4.9,6.42,-0.1,1.8600000000000003,1.4800000000000002
 ARTIGOS DE ARMARINHO,0.0,2.17,2.95,0.0,5.19,-0.5599999999999998,0.16999999999999993,0.0,0.0,2.67,4.13,4.12,-5.83,2.9800000000000004
 ACORTINADO (MOSQUITEIRO),-2.37,4.68,0.0,0.0,-2.020000000000001,0.0,0.0,3.1100000000000003,3.9299999999999997,0.0,0.0,0.0,0.0,-0.6400000000000001
 TRANSPORTES,0.76,-2.23,0.73,2.33,-1.08,-0.41999999999999993,3.2800000000000002,4.13,2.5100000000000002,0.91,-1.6,0.6699999999999999,0.99,0.15000000000000002
 TRANSPORTES,0.76,-2.23,0.73,2.33,-1.08,-0.41999999999999993,3.2800000000000002,4.13,2.5100000000000002,0.91,-1.6,0.6699999999999999,0.99,0.15000000000000002
 TRANSPORTE PÚBLICO,0.2399999999999999,-1.75,4.83,7.4,-2.05,-2.3900000000000006,6.119999999999999,11.57,4.48,7.799999999999999,-1.5299999999999998,2.55,1.69,1.63
 ÔNIBUS URBANO,0.0,0.0,9.38,14.77,0.0,23.68,14.329999999999998,17.08,9.1,19.72,0.0,16.16,6.61,5.48
 TÁXI,0.0,0.0,0.0,7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000004
 TREM,13.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
 ÔNIBUS INTERMUNICIPAL,11.95,0.05,8.13,4.1,6.47,0.0,0.23,11.19,6.14,12.56,1.53,5.76,0.24,6.9
 ÔNIBUS  INTERESTADUAL,0.060000000000000005,-1.27,-1.84,-0.8899999999999999,-1.7999999999999998,-8.190000000000001,-3.85,-5.54,1.0,-0.05,0.48,0.30000000000000004,2.04,-1.14
 PASSAGEM AÉREA,-22.340000000000003,-31.79,-33.94,-27.86,-29.98,-35.19,-28.22,-16.58,-24.6,-34.06,-24.549999999999997,-26.990000000000002,-23.130000000000003,-29.28
 METRÔ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 TRANSPORTE HIDROVIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,-8.36,0.0,0.0,0.0,0.0,0.0,0.0,-8.36
 TRANSPORTE ESCOLAR,0.0,6.7700000000000005,2.02,2.29,3.67,1.38,0.0,0.0,0.0,0.95,0.0,2.42,0.0,2.96
 VEÍCULO PRÓPRIO,1.7,-1.27,-0.61,1.78,0.2,-0.24,1.88,2.08,1.42,1.3900000000000001,-0.98,1.63,0.8100000000000002,0.45
 AUTOMÓVEL  NOVO,-0.22000000000000003,-2.5999999999999996,-0.92,2.0,-1.02,-0.030000000000000027,2.2199999999999998,2.4699999999999998,3.0300000000000002,1.4700000000000002,-2.6399999999999997,3.09,3.09,-0.07
 EMPLACAMENTO E  LICENÇA,1.03,1.02,0.78,1.02,1.1099999999999999,1.02,1.17,2.53,1.02,0.98,0.99,1.0,1.02,1.0499999999999998
 SEGURO VOLUNTÁRIO DE VEÍCULO,34.42,1.98,-1.8399999999999999,6.920000000000001,-0.7099999999999997,2.23,0.0,0.8300000000000001,9.83,8.19,-0.46,0.13999999999999968,-4.320000000000001,4.6
 MULTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ÓLEO LUBRIFICANTE,1.95,0.09000000000000008,-0.19999999999999996,1.6600000000000001,-2.1900000000000004,1.67,0.25,0.029999999999999916,-0.21999999999999997,0.56,-0.78,0.0,0.0,-0.52
 ACESSÓRIOS E PEÇAS,0.61,2.5300000000000002,-1.0599999999999998,0.8199999999999998,3.62,6.41,-4.95,1.27,-0.42000000000000004,0.06000000000000005,-1.1,-0.1499999999999999,-1.23,1.21
 PNEU ,1.8199999999999996,1.1,-0.69,1.98,-0.63,4.05,-0.1800000000000002,1.2299999999999998,6.02,2.11,-0.36999999999999994,-0.83,1.8299999999999998,0.9500000000000001
 CONSERTO DE AUTOMÓVEL,-0.18,-0.79,0.7,1.8900000000000001,1.31,-1.53,8.52,0.6799999999999999,-0.030000000000000027,-0.32999999999999996,2.67,1.52,0.3899999999999999,0.74
 ESTACIONAMENTO,1.49,0.73,0.15,0.0,-0.16000000000000003,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.64
 PEDÁGIO,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0,0.14
 LUBRIFICAÇÃO E LAVAGEM,0.0,0.0,0.0,8.26,-1.3299999999999996,0.0,0.0,0.0,0.0,5.220000000000001,0.0,0.0,0.1900000000000004,1.21
 AUTOMÓVEL USADO,3.0500000000000003,-7.09,-3.02,0.0,1.0,-3.37,0.5800000000000005,-5.29,-0.98,3.07,-3.9899999999999998,0.3299999999999999,-6.369999999999999,-0.64
 PINTURA DE VEÍCULO,0.0,0.0,0.0,3.0300000000000002,2.25,1.1800000000000002,0.0,0.0,-0.8300000000000001,5.67,0.0,0.6499999999999999,0.0,2.32
 ALUGUEL DE VEÍCULO,0.3400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3400000000000001
 MOTOCICLETA,-1.5999999999999999,3.47,0.6,-0.25000000000000006,-0.19999999999999998,3.19,1.23,6.88,1.19,-0.2999999999999998,-1.3199999999999998,-1.88,0.030000000000000138,0.6699999999999999
 COMBUSTÍVEIS (VEÍCULOS),0.3400000000000001,-3.92,-0.43999999999999995,-2.6999999999999997,-2.290000000000001,1.1900000000000004,-0.29999999999999993,-1.0300000000000002,2.6600000000000006,-3.99,-2.35,-2.34,1.02,-1.6500000000000001
 GASOLINA,-0.24,-4.37,-0.7400000000000002,-3.8099999999999996,-1.21,0.8900000000000001,-0.44999999999999996,-1.1800000000000004,1.5599999999999987,-4.15,-2.0799999999999996,-2.7,0.73,-1.58
 ETANOL,-0.07999999999999963,-0.010000000000000231,1.6100000000000003,0.9499999999999998,-4.630000000000001,3.8900000000000006,0.0,-0.1599999999999997,8.36,-3.91,-6.17,0.6699999999999999,4.67,-2.7199999999999993
 ÓLEO DIESEL,0.0,1.4499999999999997,1.5499999999999998,0.0,-0.09000000000000008,0.0,1.4200000000000002,-0.7,1.54,-0.07000000000000028,3.2300000000000004,2.16,0.3900000000000001,0.99
 GÁS VEICULAR,4.55,0.0,0.0,4.43,-0.34,0.0,0.0,0.0,0.47,0.0,0.0,1.6300000000000001,0.0,2.35
 SAÚDE E CUIDADOS PESSOAIS,2.1599999999999997,1.92,1.3399999999999999,1.93,2.09,1.58,1.77,1.38,0.94,2.85,1.55,1.26,1.32,1.89
