Variacoes - JANEIRO - FEVEREIRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.649999999999999,0.0,0.0,0.0,0.0,15.649999999999999
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15000000000000036,0.0,0.0,0.0,-0.15000000000000036
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3199999999999998,0.0,0.0,0.0,0.0,0.0,-1.3199999999999998
 CARNES E PEIXES INDUSTRIALIZADOS,1.31,0.22999999999999998,0.07999999999999985,0.6799999999999999,1.2599999999999998,-0.9400000000000001,-0.55,1.34,0.54,1.56,1.58,2.23,1.9300000000000002,-0.32999999999999996,-2.31,0.9199999999999999,0.84
 PRESUNTO,4.82,1.5199999999999998,-0.5299999999999999,0.0,-1.53,-3.01,0.0,0.9300000000000002,-1.1299999999999994,3.87,-0.84,-0.47,3.15,3.92,0.0,1.48,0.4700000000000001
 SALSICHA,0.0,2.19,0.0,-0.32999999999999985,-0.5599999999999998,0.0,0.0,0.0,0.0,0.49000000000000005,0.0,0.0,0.0,2.07,0.0,0.0,0.22999999999999998
 LINGUIÇA,0.13999999999999996,-0.6900000000000001,0.16999999999999993,0.33999999999999997,2.8000000000000003,-0.08999999999999986,2.96,1.99,2.33,2.5100000000000002,2.34,3.16,1.0899999999999999,-1.7,-2.9699999999999998,0.97,1.69
 MORTADELA,0.19999999999999996,0.0,-1.4200000000000002,-3.84,-0.8899999999999999,0.0,0.0,-0.1200000000000001,0.0,-4.81,1.0,0.0,4.140000000000001,0.0,0.0,0.0,-1.33
 SALAME,0.0,-0.8300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8300000000000001
 BACALHAU,3.7300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2900000000000005,0.0,2.92
 CARNE-SECA E DE SOL,-2.36,0.0,0.0,1.7200000000000002,0.0,-0.44999999999999996,-2.54,0.7899999999999998,-0.16999999999999998,0.0,0.0,-4.1,0.0,0.0,-0.63,0.81,-0.39
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15000000000000002,4.48,0.0,0.0,0.0,0.0,2.56
 AVES E OVOS,4.06,0.4099999999999999,4.15,0.91,-0.27,1.2899999999999998,0.44999999999999996,3.84,1.6800000000000002,1.84,1.48,2.34,0.71,2.84,4.0600000000000005,3.0,1.66
 FRANGO INTEIRO,2.19,-1.99,4.98,1.07,-0.010000000000000009,0.69,-1.3099999999999998,5.6499999999999995,3.82,-2.69,2.0,4.35,2.49,4.89,4.49,3.83,1.8599999999999999
 FRANGO EM PEDAÇOS,5.15,-1.13,3.35,1.86,0.82,1.2999999999999998,3.71,1.61,2.23,4.03,0.5599999999999999,0.3900000000000001,2.46,2.12,3.98,2.7699999999999996,2.0100000000000002
 OVO DE GALINHA,1.82,6.75,5.02,-0.7300000000000002,-3.3000000000000003,2.2600000000000002,3.2600000000000002,1.5399999999999996,-3.6500000000000004,0.9200000000000002,3.37,3.8100000000000005,-3.84,-1.86,1.94,1.9500000000000002,0.6200000000000001
 LEITES E DERIVADOS,-0.74,1.9000000000000001,2.71,-2.55,4.0600000000000005,1.52,0.86,-0.040000000000000036,0.04999999999999982,1.72,0.19999999999999996,1.79,-0.8300000000000001,-0.07,-0.55,-2.5500000000000003,1.77
 LEITE LONGA VIDA,-2.31,6.06,4.88,-4.07,7.91,3.1799999999999997,-1.88,-2.46,-1.9499999999999997,4.24,0.18999999999999995,4.18,-1.1300000000000001,0.25000000000000006,-2.61,-4.35,4.2
