Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.75,-0.18,1.33,1.08,1.28,1.05,0.6799999999999999,0.22,0.6900000000000001,0.77,2.2800000000000002,0.3699999999999999,-1.6500000000000001,-1.12,-0.030000000000000027,1.38,0.6900000000000001
 REFEIÇÃO,-1.42,-1.55,0.7599999999999999,1.15,0.7199999999999998,0.95,0.43000000000000005,0.49999999999999994,-0.24,0.74,2.4699999999999998,0.32999999999999996,-0.99,-3.4299999999999997,-0.33999999999999986,0.7399999999999999,0.13
 LANCHE,0.78,1.4000000000000001,2.17,2.29,3.0700000000000003,1.3900000000000001,0.030000000000000054,0.53,2.2699999999999996,1.79,2.24,0.53,-3.9399999999999995,0.08000000000000007,0.52,3.21,1.9
 CAFÉ DA MANHÃ,1.5199999999999998,5.51,1.93,6.619999999999999,3.3000000000000003,0.7000000000000002,-0.95,0.0,1.7200000000000002,0.0,0.0,-1.3600000000000003,0.0,-0.010000000000000009,0.0,1.58,2.76
 REFRIGERANTE E ÁGUA MINERAL,1.7799999999999998,1.61,2.13,0.83,1.01,-1.1,2.8200000000000003,-0.43,2.21,-1.36,3.45,-1.77,-1.67,-1.9,0.94,-3.2,1.12
 CAFEZINHO,0.20999999999999996,-0.33999999999999986,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.10000000000000009,0.0,0.0,0.0,0.0,0.0,0.13
 CERVEJA,0.8399999999999999,2.9699999999999998,0.9100000000000001,-1.55,-0.25999999999999995,0.24,2.1199999999999997,-1.52,-0.54,0.29999999999999993,-0.35,2.49,-1.1900000000000002,1.22,-0.34999999999999987,0.41999999999999993,0.2
 OUTRAS BEBIDAS ALCOÓLICAS,-0.09000000000000008,0.0,-1.6400000000000001,-1.7,0.0,-0.6900000000000001,0.6100000000000001,-2.3899999999999997,1.7999999999999998,0.0,0.0,0.5700000000000001,0.0,0.0,0.0,-0.5900000000000001,-0.8400000000000001
 DOCES,-1.7699999999999998,3.0300000000000002,1.44,0.7599999999999998,3.45,3.8300000000000005,0.010000000000000009,1.96,5.109999999999999,-0.5099999999999998,5.16,-0.9399999999999997,3.9699999999999998,2.57,-0.18999999999999984,4.08,1.9300000000000002
 HABITAÇÃO,1.03,0.33000000000000007,1.63,1.0899999999999999,1.57,1.4500000000000002,0.14,4.1,1.67,1.37,-0.55,0.3999999999999999,3.44,-0.73,0.78,1.3699999999999999,1.29
