Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 PÃO FRANCÊS,1.9699999999999998,3.31,0.55,-1.83,1.31,1.21,-0.08999999999999997,1.9500000000000002,1.2000000000000002,3.33,1.6800000000000002,1.5699999999999998,1.69,-0.22999999999999998,2.95,1.47,1.33
 PÃO DOCE,4.390000000000001,-1.4600000000000002,-1.66,0.0,2.95,0.0,0.0,0.0,3.3800000000000003,4.18,0.0,7.21,1.8900000000000001,0.0,0.0,0.0,2.4299999999999997
 PÃO DE FORMA,3.75,2.32,0.6400000000000003,0.0,3.96,1.8000000000000003,0.0,0.0,0.0,4.24,0.0,1.3200000000000003,0.0,0.0,0.0,0.0,3.2800000000000002
 BOLO,5.91,5.55,3.58,-1.6300000000000001,7.26,2.02,7.09,1.0899999999999999,1.2500000000000002,5.23,7.48,-1.74,3.4499999999999993,2.21,-0.14000000000000012,0.20000000000000007,4.9399999999999995
 PÃO DE QUEIJO,0.0,0.0,4.12,0.0,0.0,-2.14,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,2.37
 ÓLEOS E GORDURAS,-4.16,-4.79,-9.76,-1.02,-3.16,-1.08,-2.83,-2.13,-2.74,-3.0300000000000002,-5.08,-7.550000000000001,-2.96,-3.689999999999999,-3.74,-3.4399999999999995,-4.04
 ÓLEO DE SOJA,-10.47,-7.67,-10.98,-0.24,-6.51,-2.3800000000000003,-6.29,-3.4699999999999998,-3.2499999999999996,-4.98,-6.539999999999999,-10.07,-4.6,-4.4,-5.239999999999999,-4.55,-6.72
 AZEITE DE OLIVA,3.9799999999999995,0.0,0.0,0.0,3.07,1.96,1.94,0.0,-1.18,1.4999999999999998,0.0,0.22999999999999998,2.85,0.64,0.0,0.0,2.54
 MARGARINA,-1.02,2.65,-4.98,-2.02,0.1399999999999999,0.0,2.0700000000000003,-0.08999999999999997,-2.41,-0.5700000000000001,2.2600000000000002,0.0,-2.98,0.0,0.5499999999999998,-1.7199999999999998,-0.5700000000000001
 BEBIDAS E INFUSÕES,0.4699999999999999,1.02,1.81,3.4399999999999995,0.37,2.33,13.100000000000001,3.17,1.52,1.88,1.64,0.25,0.47,-1.48,4.17,1.77,2.1100000000000003
 SUCO DE FRUTAS,0.8099999999999999,0.9900000000000001,2.69,6.96,3.16,0.36000000000000015,0.0,4.25,0.0,1.4199999999999995,3.4699999999999998,3.5300000000000002,2.27,0.0,0.0,0.0,2.3200000000000003
 POLPA DE FRUTA (CONGELADA),0.0,0.0,0.0,0.0,0.0,0.0,3.53,-0.55,7.8100000000000005,0.0,0.0,0.0,0.0,3.5,0.4099999999999999,0.0,4.19
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,28.71,0.0,0.0,0.0,0.0,0.0,0.0,-12.379999999999999,24.840000000000003,0.0,27.91
 CAFÉ MOÍDO,-2.51,-2.4,-1.48,-0.7000000000000001,-3.07,-1.2599999999999993,-0.09000000000000008,1.87,-2.9400000000000004,-1.54,-3.87,-1.95,-3.34,-0.66,-1.97,-3.02,-2.16
 CAFÉ SOLÚVEL,0.0,-0.48000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48000000000000004
 REFRIGERANTE E ÁGUA MINERAL,1.37,1.4400000000000002,3.01,4.140000000000001,2.58,3.12,-1.98,4.21,4.49,3.17,2.7,2.1799999999999997,0.48,0.20999999999999996,4.6,3.7199999999999998,2.5700000000000003
