Variacoes - -OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ALHO,-10.11,0.0,-5.83,-3.91,1.2399999999999998,-2.73,-5.239999999999999,-1.4200000000000008,-1.17,-5.75,-0.9999999999999998,-10.59,-3.4699999999999998,0.08000000000000007,-2.91,-3.0000000000000004,-3.6599999999999997
 SAL,-2.8800000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.29,1.77,-4.52,-6.29,-2.9
 COLORAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7100000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7100000000000004
 CALDO DE TUCUPI,0.0,0.0,0.0,0.0,0.0,0.0,-5.529999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.529999999999999
 FERMENTO,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.369999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.89
 MAIONESE,-1.6,-4.410000000000001,1.0199999999999998,-2.4299999999999997,3.27,-0.8900000000000002,-8.02,-2.13,0.0,-0.9800000000000004,0.0,-4.93,-0.54,0.51,0.0,0.0,-0.16000000000000003
 VINAGRE,0.0,0.7999999999999998,0.0,0.41000000000000014,3.37,-0.8800000000000001,-2.68,0.0,1.7000000000000002,0.0,0.0,0.0,0.0,0.0,5.67,4.46,1.6600000000000001
 CALDO CONCENTRADO,0.0,2.07,0.0,3.3200000000000003,0.0,0.0,0.0,0.6699999999999998,1.8000000000000005,0.0,1.44,1.03,0.0,0.0,0.0,0.0,1.8
 TEMPERO MISTO,0.0,1.01,0.46,-0.96,3.46,-0.49,4.28,0.6599999999999999,2.3400000000000003,1.65,3.1100000000000003,0.9199999999999999,-0.79,0.8500000000000001,3.2899999999999996,-0.5699999999999998,2.28
 ALIMENTAÇÃO FORA DO DOMICÍLIO,1.31,1.28,1.19,1.69,1.3699999999999999,1.1,2.04,1.7300000000000002,0.25,0.81,1.65,2.08,1.3900000000000001,1.11,-0.19999999999999998,1.04,1.27
 ALIMENTAÇÃO FORA DO DOMICÍLIO,1.31,1.28,1.19,1.69,1.3699999999999999,1.1,2.04,1.7300000000000002,0.25,0.81,1.65,2.08,1.3900000000000001,1.11,-0.19999999999999998,1.04,1.27
 REFEIÇÃO,1.3599999999999999,1.0,1.06,1.83,1.46,1.25,3.23,1.6999999999999997,-0.12,0.67,1.69,2.54,1.35,0.58,0.27,1.04,1.3
 LANCHE,1.0599999999999996,2.3,1.23,1.09,1.03,0.64,0.19999999999999996,2.0,0.43000000000000005,1.11,1.51,1.74,1.1099999999999999,2.07,-0.54,1.15,1.13
